City,Country,Date,Lat,Longt,Temp,Humidity,Cloudiness,Wind Speed
Tuktoyaktuk,CA,1594786303,69.45,-133.04,55.4,71,90,14.99
Vanimo,PG,1594786884,-2.67,141.3,85.64,67,16,10.2
Lavrentiya,RU,1594786317,65.58,-171.0,43.61,94,100,6.73
Codrington,AU,1594786328,-38.27,141.97,54.91,69,17,5.46
Antofagasta,CL,1594786884,-23.65,-70.4,51.8,87,0,8.05
Nizhnevartovsk,RU,1594786885,60.93,76.55,60.8,77,91,4.47
Pochutla,MX,1594786322,15.74,-96.47,79.0,82,83,2.93
Katsuura,JP,1594786885,35.13,140.3,73.0,88,100,3.0
Pevek,RU,1594786885,69.7,170.31,42.98,75,33,6.73
Bestöbe,KZ,1594786885,52.5,73.1,76.6,53,0,9.82
Pyaozerskiy,RU,1594786885,65.83,31.17,52.11,92,97,3.91
Kirakira,SB,1594786292,-10.45,161.92,82.54,78,94,10.25
Plettenberg Bay,ZA,1594786885,-34.05,23.37,46.0,63,0,6.31
Bethel,US,1594786289,41.37,-73.41,66.99,93,1,3.36
Cockburn Town,TC,1594786756,21.46,-71.14,81.82,82,8,18.7
Pokhara,NP,1594786886,28.23,83.98,82.18,65,20,4.05
Oriximiná,BR,1594786886,-1.77,-55.87,76.82,75,1,3.58
Mount Isa,AU,1594786886,-20.73,139.5,69.8,19,0,9.17
Orange,US,1594786815,33.7,-117.77,71.01,73,20,4.7
Oni,GE,1594786886,42.58,43.44,65.97,70,61,0.63
Puerto Escondido,MX,1594786594,15.85,-97.07,80.64,77,86,3.65
Vaini,TO,1594786886,-21.2,-175.2,73.4,78,75,10.29
Jinxiang,CN,1594786887,22.86,115.7,90.7,64,62,12.88
Dikson,RU,1594786887,73.51,80.55,39.88,92,88,13.76
Jílové,CZ,1594786887,50.76,14.1,57.99,77,85,3.56
Narsaq,GL,1594786323,60.92,-46.05,44.6,87,100,5.82
Avera,US,1594786329,33.19,-82.53,78.8,83,1,3.85
Hilo,US,1594786887,19.73,-155.09,78.8,69,90,5.82
Sørland,NO,1594786323,67.67,12.69,55.71,80,0,1.88
Rock Sound,BS,1594786887,24.9,-76.2,83.79,75,98,7.81
Nangong,CN,1594786887,37.36,115.37,88.45,40,92,7.65
Olafsvik,IS,1594786311,64.89,-23.71,51.17,88,100,4.99
George Town,MY,1594786261,5.41,100.34,87.8,70,20,4.7
Kaupanger,NO,1594786888,61.18,7.24,56.53,70,92,0.76
Milton,US,1594786821,34.13,-84.3,73.99,89,69,3.18
Kyshtovka,RU,1594786888,56.55,76.63,68.02,65,55,2.42
Gigmoto,PH,1594786888,13.78,124.39,87.48,64,17,7.2
Christchurch,NZ,1594786799,-43.53,172.63,46.99,87,99,4.7
Sartana,UA,1594786888,47.17,37.7,61.0,100,0,8.01
Barrow,US,1594786889,71.29,-156.79,37.4,86,90,13.87
Pisco,PE,1594786763,-13.7,-76.22,59.0,87,40,3.36
Palmer,US,1594786889,42.16,-72.33,66.99,93,90,4.7
Yumen,CN,1594786889,40.28,97.2,81.27,19,86,11.95
Tual,ID,1594786889,-5.67,132.75,78.87,86,17,19.6
Cherskiy,RU,1594786323,68.75,161.3,46.72,62,0,19.8
Vardø,NO,1594786291,70.37,31.11,46.4,93,81,4.7
Butaritari,KI,1594786511,3.07,172.79,80.19,74,99,8.52
Inírida,CO,1594786889,3.87,-67.92,73.56,95,95,1.32
Coria,ES,1594786889,39.99,-6.54,67.01,43,1,7.67
Chizhou,CN,1594786890,30.66,117.48,74.26,91,99,9.53
Broome,US,1594786309,42.25,-75.83,66.2,72,1,4.7
Khatanga,RU,1594786890,71.97,102.5,59.41,79,100,10.47
Jieshi,CN,1594786890,22.81,115.83,88.03,73,70,15.88
Chimbote,PE,1594786890,-9.09,-78.58,62.24,87,96,7.36
Rondonópolis,BR,1594786890,-16.47,-54.64,75.47,46,55,1.32
Taizhou,CN,1594786890,32.49,119.91,72.0,93,100,4.14
Mandalgovi,MN,1594786890,45.76,106.27,84.36,14,70,14.92
Poum,NC,1594786890,-20.23,164.02,72.77,83,32,12.88
Bredasdorp,ZA,1594786891,-34.53,20.04,42.8,81,0,3.36
Saint George,US,1594786891,37.1,-113.58,93.0,14,1,5.82
Roebourne,AU,1594786891,-20.78,117.13,79.2,26,86,14.5
Jamestown,US,1594786891,42.1,-79.24,62.6,82,1,3.36
Bengkulu,ID,1594786891,-3.8,102.27,81.3,66,98,1.05
Mehamn,NO,1594786891,71.04,27.85,44.6,87,75,6.93
Potosí,BO,1594786891,-19.58,-65.75,36.0,65,0,2.57
Tasiilaq,GL,1594786891,65.61,-37.64,41.0,86,33,3.36
Beloha,MG,1594786314,-25.17,45.05,61.27,94,2,5.28
Chapais,CA,1594786301,49.78,-74.85,64.4,63,1,6.93
Deputatsky,RU,1594786260,69.3,139.9,58.33,47,85,10.13
Umluj,SA,1594786626,25.02,37.27,84.87,46,0,8.05
Baijiantan,CN,1594786886,45.63,85.18,84.65,24,24,4.83
Bloomfield,US,1594786892,40.81,-74.19,78.8,73,1,6.13
San Borja,BO,1594786892,-14.82,-66.85,68.25,83,59,2.75
Buenavista,PH,1594786892,8.98,125.41,90.21,55,6,4.47
Ritchie,ZA,1594786892,-29.04,24.6,23.0,92,0,2.24
Ponta do Sol,PT,1594786893,32.67,-17.1,75.99,40,0,5.59
Te Anau,NZ,1594786893,-45.42,167.72,44.2,75,22,1.16
Obihiro,JP,1594786893,42.92,143.2,62.6,82,75,4.7
Pangody,RU,1594786893,65.85,74.49,54.3,91,100,8.86
Río Gallegos,AR,1594786302,-51.62,-69.22,32.0,98,90,3.36
Lüderitz,NA,1594786315,-26.65,15.16,51.8,62,0,3.36
Buala,SB,1594786893,-8.14,159.59,84.51,70,74,5.5
Vestmannaeyjar,IS,1594786893,63.44,-20.27,52.65,91,99,5.88
Seydişehir,TR,1594786894,37.42,31.85,70.59,53,0,0.74
Verkhoyansk,RU,1594786894,67.54,133.38,73.62,36,16,9.6
Fortuna,US,1594786303,40.6,-124.16,57.99,82,1,6.93
Kousséri,CM,1594786894,12.08,15.03,71.6,94,20,9.17
Palu,ID,1594786894,-0.89,119.87,77.41,83,100,0.16
Neepawa,CA,1594786894,50.23,-99.47,60.8,72,40,9.17
Bambous Virieux,MU,1594786894,-20.34,57.76,75.0,83,40,14.99
Upernavik,GL,1594786894,72.79,-56.15,42.67,81,100,8.79
Dingle,PH,1594786300,11.0,122.67,88.74,64,24,7.16
Kisanga,TZ,1594786895,-7.44,37.7,68.7,89,100,1.19
Mezen',RU,1594786895,65.85,44.24,48.72,90,95,10.36
Flinders,AU,1594786895,-34.58,150.86,60.01,70,99,8.99
Soe,ID,1594786895,-9.86,124.28,75.54,60,5,9.35
Mossamedes,AO,1594786895,-15.2,12.15,61.52,86,0,3.62
Shenjiamen,CN,1594786895,29.96,122.3,72.16,91,100,15.68
Faya,SA,1594786895,18.39,42.45,73.4,21,0,6.58
Coyhaique,CL,1594786896,-45.58,-72.07,30.2,92,75,3.36
Saskylakh,RU,1594786896,71.92,114.08,75.13,56,54,13.13
Lafiagi,NG,1594786896,8.87,5.42,71.91,94,91,2.37
Bagotville,AU,1594786896,-28.98,153.42,70.0,45,0,14.99
Torbay,CA,1594786896,47.67,-52.73,51.01,93,90,11.41
Tawang Town,IN,1594786896,27.58,91.87,68.45,61,93,5.19
Severobaykal'sk,RU,1594786897,55.65,109.32,70.05,50,43,2.15
Altamont,US,1594786897,42.21,-121.74,75.0,26,1,9.17
Hamilton,US,1594786614,39.18,-84.53,75.99,88,1,3.69
Itarema,BR,1594786897,-2.92,-39.92,76.41,78,1,9.73
Meadow Lake,US,1594786897,34.8,-106.54,82.4,26,75,11.41
Wasilla,US,1594786830,61.58,-149.44,71.6,49,1,6.93
Saint-Augustin,CA,1594786613,51.23,-58.65,47.57,90,7,6.89
Kaitangata,NZ,1594786106,-46.28,169.85,46.0,77,28,5.99
Kjøpsvik,NO,1594786897,68.1,16.37,62.01,62,76,10.29
San Ramon,US,1594786846,37.78,-121.98,68.0,68,1,10.29
Prince George,CA,1594786814,53.92,-122.75,57.99,93,90,9.17
Olinda,BR,1594786798,-8.01,-34.86,75.2,83,75,4.7
Laguna,US,1594786558,38.42,-121.42,73.0,56,1,6.93
Sekoma,BW,1594786898,-24.4,23.88,32.04,91,0,10.4
Sambava,MG,1594786898,-14.27,50.17,69.55,84,14,9.78
Khvoynaya,RU,1594786863,58.9,34.53,56.55,69,100,10.71
Awjilah,LY,1594786898,29.11,21.29,73.35,61,0,8.88
San Cristobal,VE,1594786861,7.77,-72.22,64.62,83,19,2.28
Kushima,JP,1594786898,31.46,131.23,75.2,73,75,16.11
Lummen,BE,1594786899,50.99,5.19,55.0,93,30,4.7
Novikovo,RU,1594786899,51.15,37.89,57.6,88,100,14.9
Fallon,US,1594786899,39.47,-118.78,80.6,19,20,6.93
Hong Kong,HK,1594786871,22.29,114.16,93.99,59,38,8.99
Vestmanna,FO,1594786899,62.16,-7.17,48.2,93,94,5.82
Torzhok,RU,1594786899,57.04,34.96,52.88,95,100,16.53
Arraias,BR,1594786899,-12.93,-46.94,66.51,39,12,4.83
Bantry,IE,1594786899,51.68,-9.45,55.4,87,75,18.34
Alekseyevsk,RU,1594786899,57.84,108.35,93.4,32,28,1.34
Najrān,SA,1594786900,17.49,44.13,89.6,13,19,11.41
Teseney,ER,1594786900,15.11,36.66,79.39,65,31,10.13
Mortka,RU,1594786900,59.33,66.02,81.41,63,18,9.1
Katobu,ID,1594786900,-4.94,122.53,85.62,61,38,6.49
Eureka,US,1594786900,40.8,-124.16,59.0,100,2,2.77
Tezu,IN,1594786900,27.92,96.17,77.67,86,100,0.16
Egvekinot,RU,1594786901,66.32,-179.17,48.15,85,100,2.98
Imbituba,BR,1594786901,-28.24,-48.67,53.6,71,75,3.36
Alice Springs,AU,1594786429,-23.7,133.88,62.6,27,5,6.93
Marzuq,YE,1594786901,14.4,46.47,83.64,40,79,7.67
Sergeevka,KZ,1594786901,53.88,67.42,76.39,69,0,6.51
Baudh,IN,1594786901,20.84,84.32,84.09,71,100,5.12
Esperance,AU,1594786324,-33.87,121.9,57.2,71,0,11.41
Burnie,AU,1594786331,-41.07,145.92,55.0,56,100,5.01
Phrae,TH,1594786902,18.08,100.0,89.6,66,20,2.24
Grindavik,IS,1594786902,63.84,-22.43,50.0,100,75,4.7
Setermoen,NO,1594786902,68.86,18.35,53.6,81,71,20.8
Kununurra,AU,1594786557,-15.77,128.73,77.0,16,20,9.17
Killarney,IE,1594786902,52.05,-9.52,54.05,91,90,5.97
Taksimo,RU,1594786312,56.34,114.88,86.09,36,0,2.42
Akhmeta,GE,1594786902,42.03,45.21,71.6,68,14,21.92
Shumyachi,RU,1594786902,53.86,32.42,51.8,94,100,22.46
Helong,CN,1594786903,42.54,129.0,83.7,42,4,4.16
Piaçabuçu,BR,1594786903,-10.41,-36.43,73.22,86,4,4.45
Camacha,PT,1594786903,33.08,-16.33,68.0,77,40,21.92
Kuito,AO,1594786903,-12.38,16.93,44.13,57,0,4.23
Aksarka,RU,1594786903,66.56,67.8,54.1,94,100,8.68
Turukhansk,RU,1594786903,65.82,87.98,51.21,76,98,13.56
Solnechnyy,RU,1594786903,50.72,136.63,82.29,52,29,6.08
Svobodnyy,RU,1594786903,51.4,128.13,93.87,35,15,9.28
Ostrovnoy,RU,1594786903,68.05,39.51,47.77,79,100,8.01
Muros,ES,1594786305,42.78,-9.06,64.99,76,68,5.01
Tinskoy,RU,1594786904,56.15,96.92,68.29,55,37,14.61
Cascais,PT,1594786904,38.7,-9.42,66.0,88,0,13.85
Hasaki,JP,1594786904,35.73,140.83,72.0,88,75,9.17
Neuquén,AR,1594786770,-38.95,-68.06,39.2,69,49,3.36
Ihosy,MG,1594786904,-22.4,46.12,58.51,85,60,4.05
Istok,XK,1594786904,42.78,20.49,57.2,76,40,0.83
Luganville,VU,1594786330,-15.53,167.17,80.6,78,40,6.93
Husavik,IS,1594786905,66.04,-17.34,50.0,93,90,3.36
Rabo de Peixe,PT,1594786905,37.8,-25.58,66.2,82,40,6.93
Mundo Nuevo (Ojo de Agua),MX,1594786905,18.7,-95.5,80.37,83,2,10.78
Farsund,NO,1594786905,58.09,6.8,55.99,93,31,8.72
Meulaboh,ID,1594786905,4.14,96.13,85.96,66,59,2.82
Smithers,CA,1594786782,54.78,-127.17,59.0,77,75,2.24
Nuuk,GL,1594786563,64.18,-51.72,37.4,100,0,3.36
Tarko-Sale,RU,1594786905,64.92,77.78,59.68,71,100,13.71
Srednekolymsk,RU,1594786905,67.45,153.68,53.19,44,24,13.98
Laas,IT,1594786905,46.62,10.7,55.0,100,40,3.36
Touros,BR,1594786327,-5.2,-35.46,73.4,94,20,4.7
Oranjemund,NA,1594786906,-28.55,16.43,51.53,51,0,6.6
Muli,MV,1594786906,2.92,73.57,83.86,74,98,7.09
Quang Ngai,VN,1594786675,15.12,108.8,94.01,48,0,8.48
Port Blair,IN,1594786719,11.67,92.75,84.22,75,74,12.24
Port Augusta,AU,1594786906,-32.5,137.77,62.6,45,0,13.87
Yokadouma,CM,1594786328,3.52,15.05,68.2,97,100,2.24
San Ignacio,BZ,1594786906,17.16,-89.07,78.01,92,87,4.54
Sorong,ID,1594786812,-0.88,131.25,83.32,71,53,6.4
Bonavista,CA,1594786906,48.65,-53.11,50.0,78,100,3.0
Namatanai,PG,1594786906,-3.67,152.43,85.39,62,72,1.88
La Asuncion,VE,1594786907,11.03,-63.86,82.4,83,1,12.75
Nouakchott,MR,1594786907,18.09,-15.98,75.2,83,40,13.87
Southbridge,US,1594786907,42.08,-72.03,66.0,92,14,4.45
Kalmunai,LK,1594786907,7.42,81.82,87.53,63,95,9.24
Provideniya,RU,1594786907,64.38,-173.3,48.2,93,90,8.95
Broken Hill,AU,1594786907,-31.95,141.43,57.2,50,1,8.05
Charlottetown,CA,1594786907,46.24,-63.13,59.0,82,100,15.99
Lorengau,PG,1594786907,-2.02,147.27,85.42,67,70,7.43
Palmerston,AU,1594786907,-12.49,130.98,88.0,35,20,12.75
Havre-St-Pierre,CA,1594786908,50.23,-63.6,55.4,87,1,4.7
Lagoa,PT,1594786319,39.05,-27.98,68.49,80,0,4.83
Verāval,IN,1594786908,20.9,70.37,85.08,78,100,11.7
Kiryat Gat,IL,1594786908,31.61,34.76,73.0,68,0,1.25
Korla,CN,1594786908,41.76,86.15,87.4,16,29,3.51
Bay Roberts,CA,1594786722,47.6,-53.26,51.01,1,100,14.47
Kushiro,JP,1594786844,42.98,144.37,59.0,82,75,6.93
Tautira,PF,1594786909,-17.73,-149.15,78.8,83,75,5.82
Quatre Cocos,MU,1594786909,-20.21,57.76,75.0,83,40,14.99
Intipucá,SV,1594786909,13.2,-88.05,76.17,87,23,2.71
Assiut,EG,1594786909,27.18,31.18,75.2,50,0,4.7
Faanui,PF,1594786909,-16.48,-151.75,77.72,83,1,13.44
Yakeshi,CN,1594786909,49.28,120.73,88.57,31,99,6.13
Naliya,IN,1594786909,23.27,68.83,87.01,67,78,9.62
Macusani,PE,1594786909,-14.08,-70.43,32.85,92,27,1.41
Fukuechō,JP,1594786909,32.69,128.84,73.4,83,75,6.93
Novopskov,UA,1594786909,49.55,39.09,60.22,82,100,16.31
Clyde River,CA,1594786910,70.47,-68.59,51.8,76,90,4.7
Shelbyville,US,1594786910,35.48,-86.46,73.4,88,1,5.01
Fereydūnkenār,IR,1594786910,36.69,52.52,81.41,69,1,4.54
Puerto Baquerizo Moreno,EC,1594786807,-0.9,-89.6,67.12,90,100,8.12
Luzilândia,BR,1594786911,-3.46,-42.37,71.67,91,1,3.49
Shingū,JP,1594786313,33.73,135.98,78.8,74,75,8.05
Petropavlovsk-Kamchatskiy,RU,1594786911,53.05,158.65,60.8,82,88,15.66
Chui,UY,1594786911,-33.7,-53.46,36.01,83,0,5.93
Siddipet,IN,1594786911,18.1,78.85,75.83,90,100,3.38
Iqaluit,CA,1594786911,63.75,-68.51,50.0,81,20,7.78
Jacqueville,CI,1594786911,5.21,-4.41,75.2,94,20,4.7
Mahébourg,MU,1594786911,-20.41,57.7,73.4,83,40,14.99
Puerto Carreño,CO,1594786911,6.19,-67.49,75.25,92,94,1.5
Mahon,ES,1594786911,39.89,4.27,64.4,88,20,4.7
Pangnirtung,CA,1594786912,66.15,-65.71,54.05,56,66,8.16
Beaverlodge,CA,1594786912,55.22,-119.44,64.4,48,90,18.34
Iracoubo,GF,1594786912,5.48,-53.2,77.61,83,76,6.06
Banjar,ID,1594786912,-8.19,114.97,82.4,83,20,20.8
Calama,CL,1594786781,-22.47,-68.93,41.0,4,0,19.46
Lima,PE,1594786745,-12.04,-77.03,59.0,93,90,9.17
La Ronge,CA,1594786912,55.1,-105.28,59.0,87,75,13.87
Karpathos,GR,1594786912,35.51,27.21,73.4,78,20,29.97
Westport,US,1594786035,41.14,-73.36,70.0,96,43,7.65
Sakakah,SA,1594786912,29.97,40.21,89.6,13,0,5.82
Chase,CA,1594786912,50.82,-119.69,66.0,81,100,1.21
Ahipara,NZ,1594786913,-35.17,173.17,61.18,92,100,16.04
Markova,UA,1594786913,48.68,24.41,51.58,81,2,2.95
Yorkton,CA,1594786913,51.22,-102.47,59.0,77,75,17.22
Toguchin,RU,1594786913,55.24,84.39,63.41,72,81,11.12
Koumac,NC,1594786913,-20.57,164.28,72.97,80,56,10.74
Saurimo,AO,1594786913,-9.66,20.39,56.53,37,0,6.62
Bilma,NE,1594786913,18.69,12.92,81.21,51,3,12.71
Weiser,US,1594786913,44.25,-116.97,75.99,30,1,5.82
Janakpur Dham,NP,1594786913,26.72,85.91,88.63,68,84,11.52
Bereket,TM,1594786914,39.24,55.52,87.26,41,9,16.73
Chokurdakh,RU,1594786914,70.63,147.92,42.35,65,100,13.04
Dunedin,NZ,1594786914,-45.87,170.5,50.0,74,57,1.01
St. George's,GD,1594786914,12.06,-61.75,80.6,83,20,11.41
Uberaba,BR,1594786914,-19.75,-47.93,66.45,59,4,4.05
Kavieng,PG,1594786914,-2.57,150.8,85.21,61,100,4.18
Yeppoon,AU,1594786914,-23.13,150.73,71.6,28,0,6.93
Winnemucca,US,1594786315,40.97,-117.74,86.0,10,1,8.05
Rēzekne,LV,1594786914,56.5,27.32,50.49,81,100,7.16
Takoradze,GH,1594786915,4.88,-1.76,72.9,87,18,10.4
Butajīra,ET,1594786915,8.12,38.37,57.76,83,85,3.69
Cayenne,GF,1594786758,4.93,-52.33,77.0,83,90,8.41
Kangāvar,IR,1594786915,34.5,47.97,69.8,40,0,2.24
Honiara,SB,1594786915,-9.43,159.95,89.6,59,40,8.05
Waddān,LY,1594786915,29.16,16.14,70.59,66,0,5.79
São João da Barra,BR,1594786915,-21.64,-41.05,70.23,84,98,14.45
Karlskrona,SE,1594786915,56.16,15.59,59.0,93,99,1.12
Norman Wells,CA,1594786916,65.28,-126.83,73.4,43,40,8.05
Mogadishu,SO,1594786916,2.04,45.34,78.8,69,75,17.22
Krutinka,RU,1594786916,56.01,71.51,68.38,65,0,2.44
Teknāf,BD,1594786916,20.86,92.31,84.74,77,85,12.55
Khovd,MN,1594786916,48.01,91.64,59.58,62,99,2.13
Mount Gambier,AU,1594786916,-37.83,140.77,53.6,71,67,5.82
Biak,ID,1594786319,-0.91,122.88,79.36,84,73,8.63
Isangel,VU,1594786916,-19.55,169.27,78.8,78,75,5.82
Medveditskiy,RU,1594786916,50.79,44.71,69.3,72,99,12.8
Talnakh,RU,1594786916,69.49,88.4,50.0,100,90,11.18
Souillac,MU,1594786916,-20.52,57.52,73.4,83,40,14.99
Departamento de Maldonado,UY,1594786917,-34.67,-54.92,37.99,80,0,6.93
Belen,TR,1594786917,36.49,36.22,78.8,83,0,13.87
Lakes Entrance,AU,1594786917,-37.88,147.98,53.01,89,99,1.01
Phibun Mangsahan,TH,1594786917,15.24,105.23,91.99,79,75,4.7
Mumford,GH,1594786917,5.26,-0.76,73.06,89,0,10.18
Toora-Khem,RU,1594786917,52.47,96.11,65.73,70,100,10.85
Champerico,GT,1594786917,14.3,-91.92,80.55,78,87,9.19
Guanare,VE,1594786917,9.04,-69.74,72.52,90,33,2.68
Walvis Bay,NA,1594786917,-22.96,14.51,64.4,18,0,3.36
Saýat,TM,1594786918,38.78,63.88,89.6,29,75,6.93
Tomatlán,MX,1594786918,19.93,-105.25,79.16,88,10,1.83
Myślenice,PL,1594786918,49.83,19.94,55.0,93,41,2.24
Sirte,LY,1594786918,31.21,16.59,74.21,81,0,5.95
Coahuayana Viejo,MX,1594786918,18.73,-103.68,78.71,89,11,1.23
Bosobolo,CD,1594786918,4.18,19.9,68.36,96,97,1.01
Springdale,US,1594786918,36.19,-94.13,84.0,74,1,3.36
Padang,ID,1594786038,-0.95,100.35,86.07,59,25,3.67
Caravelas,BR,1594786919,-17.71,-39.25,70.02,94,4,2.77
Tura,IN,1594786919,25.52,90.22,81.19,81,100,3.98
San Jerónimo,PE,1594786919,-11.95,-75.28,45.79,71,78,2.62
Iskateley,RU,1594786865,67.68,53.15,48.72,95,100,11.97
Waingapu,ID,1594786560,-9.66,120.26,83.35,52,45,17.29
Islamkot,PK,1594786919,24.7,70.18,90.79,55,42,7.85
Warmbad,NA,1594786919,-28.45,18.73,39.43,69,0,11.7
Nizwá,OM,1594786919,22.93,57.53,92.79,35,0,2.46
Casablanca,MA,1594786853,33.59,-7.62,75.0,83,0,8.99
Kūhdasht,IR,1594786919,33.53,47.61,78.8,26,0,2.24
Skjervøy,NO,1594786919,70.03,20.97,59.0,62,0,16.11
Punta Alta,AR,1594786920,-38.88,-62.07,39.88,69,49,8.5
Boa Vista,BR,1594786920,2.82,-60.67,78.8,83,20,2.24
Manado,ID,1594786920,1.49,124.85,86.0,70,40,6.93
Subottsi,UA,1594786920,48.66,32.52,56.25,84,0,10.33
Novozaimka,RU,1594786920,56.49,66.92,77.67,71,0,8.03
